id,client_id,name,website,description,created_at,updated_at,slug,searchable_by_organizations,is_searchable,region,lat,lng,last_verified_at,marked_deleted,deleter_id,is_closed
32074788674,98373821376,Wright Group,thomas-duarte.com,Happen peace result at chair national challenge suggest. New successful his these according. Carry maintain woman really word tell.,2019-09-17 07:50:33,2021-01-07 13:02:28,wright_group,Learn left rule matter. Just door much vote main often member. Board same lot provide pick oil billion.,0,Los Angeles,-9.5743255,-129.004448,2020-10-22 01:25:45,1,24893780861,1
66681444441,82896647800,Williams-Sutton,roberts-gibson.com,New office practice begin. Improve get team town nation similar whose example. Race police heavy feeling keep picture beautiful. Network skin experience relate.,2020-04-06 04:56:41,2020-11-17 19:26:53,williams-sutton,Report star body girl where miss. Return style risk card will left increase investment.,0,Los Angeles,-21.843860,-38.126120,2020-10-17 01:05:14,1,75215639877,0
17415343012,61419597207,Ruiz PLC,cox.com,Either church ok behind start note establish. His TV director total story.,2020-08-09 19:31:14,2021-02-17 02:33:59,ruiz_plc,Wrong over claim ability coach whose. Experience American building likely.,1,Los Angeles,63.406382,-169.929286,2020-06-07 19:41:53,1,23679376234,0
92478148325,82433136836,Brown-Rivera,clark.biz,Know specific heavy hospital concern. Picture short minute.,2020-03-12 15:43:25,2021-02-12 19:48:07,brown-rivera,Food stay street later. Threat reflect story character rule. Lose hot me four window.,1,Los Angeles,35.4820455,-46.011849,2020-11-12 23:05:52,0,81351700735,0
65587123018,42259464196,"Reyes, Stone and Mosley",travis.com,Short between human start today in. True level individual collection debate.,2020-03-10 23:42:44,2020-05-31 16:14:39,reyes_stone_and_mosley,Gas when reduce. Purpose health smile there couple crime while system.,0,Los Angeles,-42.8655795,-68.632863,2020-03-13 13:28:16,1,19604266497,1
28761026139,82914817120,Jones Group,johnston.com,Short pull Mrs six. Degree responsibility skill then anyone.,2020-05-26 08:20:29,2020-08-28 13:34:25,jones_group,Him everyone over anyone above draw. Possible store deal contain vote finish letter. Organization rise eight.,0,Los Angeles,84.2974805,71.727549,2020-09-17 06:19:36,1,39682851458,0
23055966702,20593475067,Morrison Ltd,horn-bowen.net,Trade wonder ask fund PM sense cover sit. Choose career difference reduce manager. Stop itself inside accept.,2020-03-30 19:23:03,2020-04-30 21:48:44,morrison_ltd,Space charge view foot anything standard wish. Natural heavy indicate well. Win must concern.,0,Los Angeles,-37.733145,-116.439000,2020-05-23 17:12:57,1,74497928574,1
68653945696,75973655680,Murphy Ltd,cochran.com,Professional actually reach local security. A peace television year address in. Later customer start.,2020-07-09 05:45:11,2019-03-14 02:36:23,murphy_ltd,Decision girl by little.,1,Los Angeles,54.869686,-152.856974,2021-02-06 21:09:00,1,61407679909,0
64169840712,37785041992,Wilson-Snow,cline-juarez.net,Wide race else enough his. Writer address answer as.,2019-02-27 21:02:58,2020-08-17 00:37:16,wilson-snow,Democratic computer admit idea. Learn another old interview science goal. Small great expect.,0,Los Angeles,-38.371235,114.826221,2020-12-31 02:54:04,1,15823321165,0
82319489741,11995183509,Smith Group,moore-wang.com,Music act rate discussion offer mother. Not finally heart center.,2021-02-11 23:39:57,2020-02-04 19:43:06,smith_group,Crime cup consider thousand animal. Like reveal someone major. Hand trial a certain fish doctor west.,1,Los Angeles,-54.981748,-128.397360,2020-09-06 01:36:58,0,63461439311,0
37986418978,36201696938,Butler-Armstrong,jones.info,Personal early fine personal value bank investment. Nation seat low chair product game.,2020-04-21 10:07:08,2020-11-30 01:51:56,butler-armstrong,Save school prepare identify. Law shoulder blue should shake.,0,Los Angeles,-29.1380445,50.781775,2020-05-23 12:37:07,1,27152169980,1
37276873913,84487152451,"Walters, Martin and Serrano",wilson-mccormick.com,Raise lay commercial statement sense. Either race relate couple its notice.,2021-02-03 09:33:25,2020-09-11 09:29:25,walters_martin_and_serrano,Specific character class arrive interview. Serious federal personal worker huge left. For art often early to culture money. Sit above want staff simple I.,1,Los Angeles,31.860518,155.379390,2020-12-05 15:47:11,0,18780288332,0
30521389633,23798021090,"Hunt, Smith and Cervantes",oneal-hill.info,Individual stand worker star. Child of off bed north tell heart reality.,2020-11-14 07:43:41,2020-06-19 02:02:56,hunt_smith_and_cervantes,Price pressure step around cold. Sister method mission modern operation six opportunity change. Another turn price less present.,0,Los Angeles,3.207983,43.490209,2020-10-16 02:07:58,1,24992272406,0
37126626029,82764048381,"Little, Stevenson and Newton",rojas.com,Make degree be leave raise away. Friend maybe six movement difference design.,2021-01-27 01:02:56,2021-02-04 18:02:01,little_stevenson_and_newton,Heavy rich single suggest deep. Nearly carry thought rise trouble may standard.,1,Los Angeles,-9.4564335,70.572964,2020-03-01 13:15:31,1,87070435375,1
78037666292,50213196692,"Johnson, Esparza and Mills",harrison.net,Certain require car defense. Science girl especially avoid sister doctor travel.,2019-09-13 23:21:08,2020-10-31 21:55:32,johnson_esparza_and_mills,Who peace fill reason true hard like thousand. Kid conference degree free forget actually wrong.,0,Los Angeles,41.530527,88.508934,2020-09-21 19:51:30,0,66584713920,0
93004136572,38850141536,"Hammond, Bennett and Conway",thornton-price.org,Great out her chair east hundred. Begin article now contain. Foot PM that hot whom yes effort task.,2020-08-29 07:16:48,2020-11-16 14:28:56,hammond_bennett_and_conway,Town read add speech.,1,Los Angeles,-79.8151495,103.495522,2020-08-29 03:57:53,0,44727916332,0
17766185466,93627826282,Morris-Jones,clark.info,Learn provide someone shake. Game but who economy within appear.,2020-12-09 21:10:42,2020-08-09 00:58:03,morris-jones,Enough process back PM in test. Money mission feeling because.,0,Los Angeles,-25.913303,87.946539,2020-08-21 02:19:42,1,91437959688,1
83666938310,16570200213,"Turner, Wallace and Ortiz",williams-king.org,Lot now speech be. Spring boy power necessary.,2021-02-03 15:48:16,2020-10-01 01:21:59,turner_wallace_and_ortiz,Help hold assume visit decade detail. Throughout team no time soldier ever over.,0,Los Angeles,68.343820,105.809091,2021-01-25 23:39:55,1,56150920855,1
22009933639,83233527847,Williams-Owens,beard.com,Yes important strong today environmental sea including. Beautiful exactly trip we most. Heavy crime worry art accept wonder.,2020-04-27 11:58:34,2021-02-25 16:26:08,williams-owens,Public player but continue mission. Wear itself agency decade maybe.,1,Los Angeles,-45.948210,51.482438,2020-08-14 04:23:30,0,58956793669,1
98081560032,26670179409,"Russell, Jones and Morris",jordan.com,Guy enjoy nation.,2019-09-19 12:03:42,2020-06-16 04:31:10,russell_jones_and_morris,Seek central try they less card. One way fight meet where pull performance. Factor successful deal maybe.,1,Los Angeles,20.827573,149.619006,2020-09-05 01:59:58,0,79549242009,0
38843753342,16621020235,"Bailey, Bullock and Wagner",mason.info,Remain factor local age. Team amount college find significant cultural. Relationship section apply meeting better process buy.,2021-02-03 03:55:23,2020-09-19 13:10:18,bailey_bullock_and_wagner,Security more paper activity couple. Morning next agency network gas must like.,1,Los Angeles,67.517364,1.475182,2021-01-31 12:45:22,0,99175518537,1
85373199697,60967247827,Phillips-Wilkinson,mcneil.com,Weight attack I standard serve picture expert weight. Relate environment believe call.,2019-03-29 04:12:14,2020-08-24 23:05:51,phillips-wilkinson,Next where wife hair. Rather check board wife animal month attorney country. Easy you house happy sit responsibility recently.,1,Los Angeles,34.0220735,43.281597,2020-10-26 06:07:02,0,99411697330,1
66881488684,91640248212,Allen Inc,conner.com,Seat behind oil especially laugh simple. Design sell sound tree indicate.,2019-03-17 15:27:11,2020-08-16 09:01:52,allen_inc,Heart painting all little range hundred want. Stop establish work sit sort. Range but feeling PM example.,0,Los Angeles,-1.4256915,165.301504,2020-07-17 19:23:08,0,35947504567,1
94355578917,77324248884,Winters Group,singh.com,Contain picture fact front.,2019-10-18 09:19:23,2021-02-20 02:29:39,winters_group,Too owner civil certain TV newspaper. Several resource force hold argue.,0,Los Angeles,-74.0975275,-123.294850,2020-12-18 20:55:26,1,58712030534,1
14951630870,72593336357,Davis LLC,arellano.com,Positive writer dinner military theory strong. Minute while entire social sure perhaps fight. Consider production product thousand real.,2019-02-06 18:40:02,2020-07-07 15:15:24,davis_llc,Who improve however strategy. Choice must young production himself.,1,Los Angeles,-55.4019065,79.066685,2021-01-16 17:43:53,1,32310153685,0
28531310906,78401862947,Harris-Rivera,randall.com,Today director home like black. Woman man why.,2019-03-17 20:00:41,2020-05-22 22:14:57,harris-rivera,Sit court report affect. Describe century beautiful. Whose report purpose operation scene.,1,Los Angeles,25.532571,131.183702,2020-07-10 16:29:18,0,37733173345,1
67973767388,94530221270,"Jackson, Matthews and Rosales",perry.com,In prevent side purpose. Leg but rest executive outside.,2019-12-21 23:48:09,2020-01-30 22:53:11,jackson_matthews_and_rosales,Whole mouth current on final discussion. Paper civil story institution likely billion media. Reflect pick seek situation similar simple measure involve.,1,Los Angeles,65.758371,117.787260,2020-07-06 16:46:21,0,89354654460,0
95005639326,52340538959,Miller Group,brooks.com,Involve close strategy general dinner world.,2019-01-17 16:46:16,2021-02-14 02:16:33,miller_group,Concern now pass since. Meet mission go discussion open yard.,0,Los Angeles,-29.1360945,-76.385954,2020-09-28 04:17:16,0,12819469810,0
22355598616,51289842126,Moore-Vasquez,brown-wagner.com,Last tax station animal visit. Voice find account boy box special challenge develop. Reduce language staff although clearly.,2019-09-04 09:51:41,2021-01-15 15:28:08,moore-vasquez,Card hit suggest as expect. Task certainly community just involve. Use artist night agent cup design from. Hour product model admit more say father.,0,Los Angeles,-9.6078735,-165.759405,2020-12-05 09:31:49,1,14321643519,0
87682324858,34940379069,Reed-Fisher,bender.org,Single wrong practice production since. Couple easy remember medical road.,2019-09-17 12:08:56,2020-07-06 03:12:46,reed-fisher,Person country game baby. Myself service only education.,0,Los Angeles,5.6200885,-165.113474,2021-02-25 01:13:51,0,66208877358,0
38053220710,42323003991,"Norris, Dickerson and Hernandez",hebert.biz,Perform owner perhaps little. Among coach above bring yes relationship.,2020-10-25 22:36:59,2020-12-30 12:02:14,norris_dickerson_and_hernandez,Foot right teach piece wind large home. Our artist time present security town center. Some similar soldier about.,0,Los Angeles,-35.693385,82.601158,2020-09-16 00:16:05,0,17235527875,0
67374276390,41959829043,Smith Inc,sullivan.com,Strategy at ready sure doctor majority ahead. Win plan of down. Information out red sea turn.,2020-08-21 15:04:10,2019-07-30 07:59:49,smith_inc,Say daughter rich guess coach lay. Bit sport section. Class peace black none break.,0,Los Angeles,58.2143995,105.839986,2020-04-08 19:46:51,0,77709449833,0
40304570077,98878749821,"Erickson, Weaver and Morgan",davidson.com,Particular interesting open.,2019-11-25 05:13:38,2021-02-09 06:46:52,erickson_weaver_and_morgan,Allow sort fine. Start cup everything check wonder election.,1,Los Angeles,43.035495,-30.290157,2020-09-22 18:23:26,1,58293144814,0
88497336689,28333690459,Thompson LLC,castro-hart.biz,Question off score personal. Eat end should nearly former culture require opportunity. Trouble goal another tonight class page week.,2020-09-22 03:32:25,2020-07-12 15:15:24,thompson_llc,Study life energy the item city do. Especially common part effect. Relationship affect Congress best success travel speech.,0,Los Angeles,56.788539,-169.497975,2020-08-19 05:57:37,0,68688084713,1
21908034032,47091632388,"Solomon, Cherry and Cohen",jackson.net,Evidence room pay get happen. Increase writer true.,2020-09-12 17:50:50,2020-01-16 23:20:39,solomon_cherry_and_cohen,Compare brother likely above. Senior report most. Fast describe former analysis hair.,1,Los Angeles,-84.2280815,21.680675,2021-01-08 02:40:21,0,85958769843,0
42437957716,49112927712,"Russell, Reyes and Gibbs",lewis.com,Wait him soon church. President parent stand everyone care must cover indicate. Inside purpose difficult hour fish my.,2020-02-06 18:06:42,2020-10-28 23:58:47,russell_reyes_and_gibbs,Already human like reality matter.,0,Los Angeles,59.8623735,168.569976,2020-10-14 16:38:09,1,59606353638,1
42959303247,23940761782,Lopez-Smith,martin-owens.com,Close hard radio. Paper region by system. Win cut toward agreement.,2020-08-28 17:52:36,2019-09-30 07:59:45,lopez-smith,Option actually store industry environment. Training keep look back rather this. Themselves list Mr yes bad wait here new.,0,Los Angeles,86.8941505,-161.819606,2020-03-10 20:26:58,0,36495036955,1
94355298688,19027248240,"Kennedy, Paul and Warner",sims.biz,Total director back community. Once attorney each value cause country heavy. Lay hospital gun change for. Painting too family service model few past.,2020-09-29 06:04:03,2020-10-23 22:30:00,kennedy_paul_and_warner,Instead particular carry clear quality movement. Black leader black turn physical.,1,Los Angeles,68.738425,41.616731,2020-12-13 09:41:42,1,83968129938,0
68761408637,72010322462,Brown-Sanders,myers.info,Everything always model people security too rule. Single page thought lay focus project rule. Beyond center society song by blood blue. Several civil animal effort.,2020-10-12 08:11:38,2021-02-21 14:22:53,brown-sanders,Season claim lead by lead field your. Music exist this break peace cause. Save hold can writer research.,0,Los Angeles,74.299636,-49.482320,2020-12-06 10:03:48,0,79759550488,0
41340222428,24614124711,"Mckay, Harrison and Brown",collier.com,Catch matter result politics. Knowledge poor me else risk out. Pull cultural well safe.,2019-01-11 02:02:07,2020-10-08 06:47:12,mckay_harrison_and_brown,Bill morning base final international. Impact shake sound agreement. Letter owner game let say.,0,Los Angeles,79.2361535,0.490005,2020-04-11 11:02:49,1,52349991414,1
