uid,gender,location,longitude,latitude,region,county,state,active
3153,F,"Los Angeles, CA",-117.62232266049946,35.14674785230506,"Los Angeles, CA",Los Angeles,CA,0
6549,F,"Los Angeles, CA",-121.42353783591957,31.592833860777194,"Los Angeles, CA",Los Angeles,CA,1
6682,M,"Los Angeles, CA",-119.31799168533931,32.42596567993674,"Los Angeles, CA",Los Angeles,CA,1
5239,F,"Los Angeles, CA",-118.36201662690942,34.42901669718362,"Los Angeles, CA",Los Angeles,CA,0
4562,M,"Los Angeles, CA",-121.02039063833173,32.190431399680364,"Los Angeles, CA",Los Angeles,CA,1
6825,F,"Los Angeles, CA",-122.63539103653747,31.949550626821598,"Los Angeles, CA",Los Angeles,CA,1
2646,M,"Los Angeles, CA",-117.19454354660586,34.12276442928235,"Los Angeles, CA",Los Angeles,CA,0
9260,M,"Los Angeles, CA",-121.26676506403035,35.12749241186979,"Los Angeles, CA",Los Angeles,CA,1
8913,M,"Los Angeles, CA",-119.67415183981119,32.1320898960882,"Los Angeles, CA",Los Angeles,CA,1
3276,M,"Los Angeles, CA",-120.46485909012782,31.57246681488782,"Los Angeles, CA",Los Angeles,CA,1
2451,M,"Los Angeles, CA",-120.87496637741961,31.229496879062104,"Los Angeles, CA",Los Angeles,CA,0
9292,M,"Los Angeles, CA",-116.16072179277062,35.8425262142967,"Los Angeles, CA",Los Angeles,CA,1
2178,M,"Los Angeles, CA",-119.50687913381935,36.09755999443222,"Los Angeles, CA",Los Angeles,CA,0
4117,F,"Los Angeles, CA",-120.15941030350402,31.28137401722492,"Los Angeles, CA",Los Angeles,CA,0
9860,F,"Los Angeles, CA",-118.98286259901072,34.34214598596232,"Los Angeles, CA",Los Angeles,CA,1
7618,M,"Los Angeles, CA",-117.42021516939104,33.108192388011375,"Los Angeles, CA",Los Angeles,CA,1
2707,F,"Los Angeles, CA",-120.2839941564319,31.102038495186353,"Los Angeles, CA",Los Angeles,CA,0
5282,F,"Los Angeles, CA",-117.93580893399906,35.11569937294861,"Los Angeles, CA",Los Angeles,CA,0
